"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Austria","2018","Total","Both Sexes","Bregenz","City proper","Estimate - de jure","Final figure, complete","2018","29806",""
"Austria","2018","Total","Both Sexes","Eisenstadt","City proper","Estimate - de jure","Final figure, complete","2018","14476",""
"Austria","2018","Total","Both Sexes","Graz","City proper","Estimate - de jure","Final figure, complete","2018","286292",""
"Austria","2018","Total","Both Sexes","Innsbruck","City proper","Estimate - de jure","Final figure, complete","2018","132493",""
"Austria","2018","Total","Both Sexes","Klagenfurt","City proper","Estimate - de jure","Final figure, complete","2018","100369",""
"Austria","2018","Total","Both Sexes","Linz","City proper","Estimate - de jure","Final figure, complete","2018","204846",""
"Austria","2018","Total","Both Sexes","Salzburg","City proper","Estimate - de jure","Final figure, complete","2018","153377",""
"Austria","2018","Total","Both Sexes","Sankt Pölten","City proper","Estimate - de jure","Final figure, complete","2018","54649",""
"Austria","2018","Total","Both Sexes","WIEN","City proper","Estimate - de jure","Final figure, complete","2018","1888776",""
"Austria","2017","Total","Both Sexes","Bregenz","City proper","Estimate - de jure","Final figure, complete","2017","29574",""
"Austria","2017","Total","Both Sexes","Eisenstadt","City proper","Estimate - de jure","Final figure, complete","2017","14339",""
"Austria","2017","Total","Both Sexes","Graz","City proper","Estimate - de jure","Final figure, complete","2017","283869",""
"Austria","2017","Total","Both Sexes","Innsbruck","City proper","Estimate - de jure","Final figure, complete","2017","132236",""
"Austria","2017","Total","Both Sexes","Klagenfurt","City proper","Estimate - de jure","Final figure, complete","2017","99790",""
"Austria","2017","Total","Both Sexes","Linz","City proper","Estimate - de jure","Final figure, complete","2017","203012",""
"Austria","2017","Total","Both Sexes","Salzburg","City proper","Estimate - de jure","Final figure, complete","2017","152367",""
"Austria","2017","Total","Both Sexes","Sankt Pölten","City proper","Estimate - de jure","Final figure, complete","2017","54213",""
"Austria","2017","Total","Both Sexes","WIEN","City proper","Estimate - de jure","Final figure, complete","2017","1867582",""
"Austria","2016","Total","Both Sexes","Bregenz","City proper","Estimate - de jure","Final figure, complete","2016","29153",""
"Austria","2016","Total","Both Sexes","Eisenstadt","City proper","Estimate - de jure","Final figure, complete","2016","14226",""
"Austria","2016","Total","Both Sexes","Graz","City proper","Estimate - de jure","Final figure, complete","2016","280258",""
"Austria","2016","Total","Both Sexes","Innsbruck","City proper","Estimate - de jure","Final figure, complete","2016","131009",""
"Austria","2016","Total","Both Sexes","Klagenfurt","City proper","Estimate - de jure","Final figure, complete","2016","99125",""
"Austria","2016","Total","Both Sexes","Linz","City proper","Estimate - de jure","Final figure, complete","2016","200839",""
"Austria","2016","Total","Both Sexes","Salzburg","City proper","Estimate - de jure","Final figure, complete","2016","150938",""
"Austria","2016","Total","Both Sexes","Sankt Pölten","City proper","Estimate - de jure","Final figure, complete","2016","53478",""
"Austria","2016","Total","Both Sexes","WIEN","City proper","Estimate - de jure","Final figure, complete","2016","1840226",""
"Austria","2014","Total","Both Sexes","Bregenz","City proper","Estimate - de jure","Final figure, complete","2014","28412",""
"Austria","2014","Total","Both Sexes","Eisenstadt","City proper","Estimate - de jure","Final figure, complete","2014","13485",""
"Austria","2014","Total","Both Sexes","Graz","City proper","Estimate - de jure","Final figure, complete","2014","269997",""
"Austria","2014","Total","Both Sexes","Innsbruck","City proper","Estimate - de jure","Final figure, complete","2014","124579",""
"Austria","2014","Total","Both Sexes","Klagenfurt","City proper","Estimate - de jure","Final figure, complete","2014","96640",""
"Austria","2014","Total","Both Sexes","Linz","City proper","Estimate - de jure","Final figure, complete","2014","193814",""
"Austria","2014","Total","Both Sexes","Salzburg","City proper","Estimate - de jure","Final figure, complete","2014","146631",""
"Austria","2014","Total","Both Sexes","Sankt Pölten","City proper","Estimate - de jure","Final figure, complete","2014","52145",""
"Austria","2014","Total","Both Sexes","WIEN","City proper","Estimate - de jure","Final figure, complete","2014","1766746",""
"Austria","2013","Total","Both Sexes","Bregenz","City proper","Estimate - de jure","Final figure, complete","2013","28072",""
"Austria","2013","Total","Both Sexes","Eisenstadt","City proper","Estimate - de jure","Final figure, complete","2013","13351",""
"Austria","2013","Total","Both Sexes","Graz","City proper","Estimate - de jure","Final figure, complete","2013","265778",""
"Austria","2013","Total","Both Sexes","Innsbruck","City proper","Estimate - de jure","Final figure, complete","2013","122458",""
"Austria","2013","Total","Both Sexes","Klagenfurt","City proper","Estimate - de jure","Final figure, complete","2013","95450",""
"Austria","2013","Total","Both Sexes","Linz","City proper","Estimate - de jure","Final figure, complete","2013","191501",""
"Austria","2013","Total","Both Sexes","Salzburg","City proper","Estimate - de jure","Final figure, complete","2013","145871",""
"Austria","2013","Total","Both Sexes","Sankt Pölten","City proper","Estimate - de jure","Final figure, complete","2013","51926",""
"Austria","2013","Total","Both Sexes","WIEN","City proper","Estimate - de jure","Final figure, complete","2013","1741246",""
"Austria","2012","Total","Both Sexes","Bregenz","City proper","Estimate - de jure","Final figure, complete","2012","28007",""
"Austria","2012","Total","Both Sexes","Eisenstadt","City proper","Estimate - de jure","Final figure, complete","2012","13165",""
"Austria","2012","Total","Both Sexes","Graz","City proper","Estimate - de jure","Final figure, complete","2012","265318",""
"Austria","2012","Total","Both Sexes","Innsbruck","City proper","Estimate - de jure","Final figure, complete","2012","121329",""
"Austria","2012","Total","Both Sexes","Klagenfurt","City proper","Estimate - de jure","Final figure, complete","2012","94796",""
"Austria","2012","Total","Both Sexes","Linz","City proper","Estimate - de jure","Final figure, complete","2012","191107",""
"Austria","2012","Total","Both Sexes","Salzburg","City proper","Estimate - de jure","Final figure, complete","2012","148521",""
"Austria","2012","Total","Both Sexes","Sankt Pölten","City proper","Estimate - de jure","Final figure, complete","2012","52048",""
"Austria","2012","Total","Both Sexes","WIEN","City proper","Estimate - de jure","Final figure, complete","2012","1731236",""
"Austria","2011","Total","Both Sexes","Bregenz","City proper","Census - de jure - complete tabulation","Final figure, complete","2012","27831",""
"Austria","2011","Total","Both Sexes","Bregenz","City proper","Estimate - de jure","Final figure, complete","2011","27784","1"
"Austria","2011","Total","Both Sexes","Eisenstadt","City proper","Census - de jure - complete tabulation","Final figure, complete","2012","13101",""
"Austria","2011","Total","Both Sexes","Eisenstadt","City proper","Estimate - de jure","Final figure, complete","2011","12995","1"
"Austria","2011","Total","Both Sexes","Graz","City proper","Census - de jure - complete tabulation","Final figure, complete","2012","261726",""
"Austria","2011","Total","Both Sexes","Graz","City proper","Estimate - de jure","Final figure, complete","2011","261540","1"
"Austria","2011","Total","Both Sexes","Innsbruck","City proper","Census - de jure - complete tabulation","Final figure, complete","2012","119617",""
"Austria","2011","Total","Both Sexes","Innsbruck","City proper","Estimate - de jure","Final figure, complete","2011","120147","1"
